17 June 2014 08:30:02 AM

TOMS743_PRB
  C version
  Test the TOMS743 library.

  Number of bits in mantissa - 1 = 52

TEST01
  Compare WAPR(X) to stored values.

  Wp results for x near -exp(-1)

   Offset x    W(x) (WAPR)   W(x) (EXACT)   Digits Correct
   8.00000000e+19   4.20887772e+01   4.20887772e+01       16
   8.50000000e+19   4.21479958e+01   4.21479958e+01       16
   9.00000000e+19   4.22038304e+01   4.22038304e+01       16
   9.50000000e+19   4.22566469e+01   4.22566469e+01       16
   1.00000000e+20   4.23067551e+01   4.23067551e+01       16

TOMS743_PRB
  Normal end of execution.

17 June 2014 08:30:02 AM
